Name,Change11,Mean11,SD11,Change12,Change13,Mean13,SD13,Change14,Change15,Mean15,SD15,Change16,Mean16,SD16,Change17,Change18,Mean18,SD18,Change19,Mean19,SD19,Change20
Average,,0.02225,0.224,,,0.01817,0.2535,,,-0.03092,0.292,,-0.01123,0.232,,,-0.00531,0.209,,0.01133,0.166,
Argentina,0,0.11379,0.333,0,0,0.171,0.2,-5,0,-0.178,0.353,5,0.1401,0.2945,-1,0,0.363,0.364,-3,0.0183,0.244,-2
Armenia,0,0.3431,0.258,0,0,0.1552,0.728,0,1,0.0138,0.303,-5,,,0,0,,,5,-0.1563,0.454,0
Azerbaijan,0,0.2583,0.575,5,0,0.4405,0.75,0,0,0.128,0.766,-5,,,1,0,,,0,-0.0825,0.664,0
Belarus,2,0.00913,0.239,0,0,-0.0271,0.674,0,-5,0.314,0.383,0,0.1691,0.085,0,5,0.197,0.518,0,0.0217,0.0747,0
Bolivia,0,-0.07672,0.23,5,0,-0.037,0.071,0,0,0.104,0.239,0,-0.007,0.2708,0,0,,,0,0.0508,0.086,-4
Brazil,-1,-0.03096,0.187,0,0,0.02125,0.276,0,1,0.15,0.111,-4,0.0189,0.154,0,0,-0.2005,0.237,0,0.0364,0.175,0
Bulgaria,-1,0.04242,0.244,0,0,0.0675,0.446,0,0,0.0432,0.246,0,,,0,0,0.0497,0.0413,0,0.0368,0.0242,-1
Chile,,,,,,,,,,,,,,,,-5,0.058,0.095,0,0.005,0.024,0
Colombia,0,0.01538,0.206,0,0,0.07015,0.2,-1,0,-0.013,0.118,0,0.0678,0.236,0,0,0.0496,0.175,0,-0.029,0.095,0
Costa Rica,0,0.03273,0.151,0,0,0.00994,0.194,-5,0,-0.09,0.403,0,-0.1244,0.2288,1,-4,-0.065,0.202,0,0.0109,0.085,1
Croatia,0,0.04135,0.133,0,-5,-0.047,0.315,0,0,-0.2,0.345,1,0.0764,0.1207,0,0,0.202,0.332,0,0.00888,0.0753,-1
Cyprus,-3,-0.15401,0.097,-6,-3,0.10909,0.248,3,-2,-0.5106,0.255,0,0.197,0.709,5,-1,0.0187,0.0688,0,,,0
Czech,0,-0.04634,0.234,0,0,0.01932,0.295,0,0,-0.056,0.185,0,-0.1449,0.308,0,0,-0.181,0.282,5,,,
Ecuador,-1,-0.04582,0.153,-1,0,-0.00971,0.254,5,0,0.132,0.164,0,-0.0834,0.275,0,0,0.0282,0.0338,0,0.137,0.123,-3
Salvador,1,0.11315,0.195,1,0,-0.03419,0.073,0,0,-0.092,0.187,-3,-0.0995,0.205,-5,5,,,0,-0.27,0.217,0
Georgia,0,0.03125,0.14,0,0,,,0,0,,,0,,,-1,0,-0.062,0.14,0,0.0568,0.278,0
Greece,-4,0.01129,0.166,-1,4,-0.0988,0.218,-2,2,-0.767,0.141,0,-0.131,0.276,-1,4,0.0939,0.328,-2,-0.1394,0.203,5
Guatemala,0,,,0,0,0.0539,0.178,0,0,0.074,0.593,0,-0.02647,0.06,0,0,,,0,-0.386,0.298,0
Honduras,0,-0.04652,0.186,0,0,0.03393,0.095,1,0,0.066,0.16,-1,0.1655,0.194,-1,0,,,0,0.0948,0.311,0
Hungary,-5,-0.01736,0.078,0,0,-0.0806,0.144,0,0,-0.414,0.339,5,-0.0494,0.133,0,0,0.0027,0.2227,0,0.0309,0.118,0
Iceland,0,0.03764,0.068,0,0,0.18814,0.1011,-1,0,-0.087,0.241,4,-0.0168,0.253,0,0,-0.118,0.0645,-1,0.073,0.077,0
Ireland,-3,-0.01941,0.563,0,0,-0.175,0.354,3,0,0.106,0.178,5,-0.174,0.257,-1,0,0.2701,0.0868,0,0.0366,0.228,0
