Name,Mean11,SD11,Mean13,SD13,Mean15,SD15,Mean16,SD16,Mean18,SD18,Mean19,SD19
Average,0.02225,0.224,0.01817,0.2535,-0.03092,0.292,-0.01123,0.232,-0.00531,0.209,0.01133,0.166
Argentina,0.11379,0.333,0.171,0.2,-0.178,0.353,0.1401,0.2945,0.363,0.364,0.0183,0.244
Bolivia,-0.07672,0.23,-0.037,0.071,0.104,0.239,-0.007,0.2708,,,0.0508,0.086
Brazil,-0.03096,0.187,0.02125,0.276,0.15,0.111,0.0189,0.154,-0.2005,0.237,0.0364,0.175
Canada,,,0.0712,0.287,0.006,0.168,-0.0088,0.15,,,,
Chile,0.05546,0.314,0.02268,0.158,-0.045,0.117,0.1298,0.2045,0.058,0.095,0.005,0.024
Colombia,0.01538,0.206,0.07015,0.2,-0.013,0.118,0.0678,0.236,0.0496,0.175,-0.029,0.095
Costa Rica,0.03273,0.151,0.00994,0.194,-0.09,0.403,-0.1244,0.2288,-0.065,0.202,0.0109,0.085
Guatemala,,,0.0539,0.178,0.074,0.593,-0.02647,0.06,,,-0.386,0.298
Salvado,0.11315,0.195,-0.03419,0.073,-0.092,0.187,-0.0995,0.205,,,-0.27,0.217
Ecuador,-0.04582,0.153,-0.00971,0.254,0.132,0.164,-0.0834,0.275,0.0282,0.0338,0.137,0.123
Honduras,-0.04652,0.186,0.03393,0.095,0.066,0.16,0.1655,0.194,,,0.0948,0.311
Jamaica,-0.20765,0.176,-0.11653,0.304,-0.095,0.504,-0.0536,0.4336,,,0.0697,0.246
Mexico,-0.02414,0.382,0.09807,0.162,0.028,0.358,0.04365,0.2379,-0.0427,0.194,0.0167,0.267
Panama,-0.05637,0.181,-0.02561,0.187,-0.02,0.695,0.0914,0.222,-0.0501,0.181,-0.0729,0.185
Paraguay,-0.01526,0.285,0.09494,0.178,0.06,0.256,-0.1649,0.2855,,,-0.0052,0.094
Peru,0.05797,0.152,0.1594,0.353,0.146,0.255,-0.0075,0.23,0.0946,0.275,0.0105,0.106
Trinidad,,,0.2217,0.217,-0.25,0.386,-0.216,0.156,,,0.1709,0.1
US,-0.07691,0.122,-0.0408,0.157,0.021,0.088,-0.1227,0.261,,,-0.1135,0.079
Uruguay,-0.1583,0.522,0.01318,0.223,-0.009,0.179,-0.049,0.158,-0.0826,0.0695,0.0788,0.154
Venezuela,0.00478,0.211,-0.2228,0.51,-0.018,0.171,0.202,0.423,0.0692,0.347,-0.0108,0.193
Turkey,-0.0235,0.236,-0.08611,0.202,0.196,0.634,0.0306,0.156,0.1007,0.41,0.1722,0.109
Romania,0.0416,0.226,-0.362,0.112,,,0.0793,0.164,-0.0237,0.109,-0.058,0.171
Japan,,,-0.0534,0.26,,,,,0.069,0.209,,
Israel,-0.08617,0.0788,0.0687,0.172,,,,,,,0.0493,0.123
Kazakhstan,0.278,0.35,,,,,,,-0.0783,0.252,,
Korea,0.1097,0.372,0.2166,0.253,,,,,-0.0161,0.147,0.0382,0.071
Armenia,0.3431,0.258,0.1552,0.728,0.0138,0.303,,,,,-0.1563,0.454
Azerbaijan,0.2583,0.575,0.4405,0.75,0.128,0.766,,,,,-0.0825,0.664
Bulgaria,0.04242,0.244,0.0675,0.446,0.0432,0.246,,,0.0497,0.0413,0.0368,0.0242
China,0.0668,0.138,0.111,0.448,,,,,,,,
Georgia,0.03125,0.14,,,,,,,-0.062,0.14,0.0568,0.278
Albania,0.09148,0.246,0.0076,0.189,-0.222,0.496,-0.041,0.141,,,0.103,0.086
Austria,0.03674,0.229,0.0747,0.148,0.138,0.169,0.066,0.186,-0.241,0.223,0.0212,0.16
Belgium,0.07525,0.124,-0.0725,0.26,-0.084,0.311,-0.0575,0.1713,-0.069,0.009,,
Belarus,0.00913,0.239,-0.0271,0.674,0.314,0.383,0.1691,0.085,0.197,0.518,0.0217,0.0747
Bosnia,0.06918,0.683,-0.1701,0.68,0.0663,0.385,-0.085,0.9497,-0.346,0.651,-0.1253,0.5656
Croatia,0.04135,0.133,-0.047,0.315,-0.2,0.345,0.0764,0.1207,0.202,0.332,0.00888,0.0753
Cyprus,-0.15401,0.097,0.10909,0.248,-0.5106,0.255,0.197,0.709,0.0187,0.0688,,
Czech,-0.04634,0.234,0.01932,0.295,-0.056,0.185,-0.1449,0.308,-0.181,0.282,0.0566,0.0521
Greece,0.01129,0.166,-0.0988,0.218,-0.767,0.141,-0.131,0.276,0.0939,0.328,-0.1394,0.203
France,0.08771,0.0923,-0.0554,0.174,0.133,0.255,0.0508,0.2246,,,,
Germany,0.05235,0.111,-0.0633,0.064,0.082,0.132,-0.0411,0.1848,-0.239,0.284,-0.004,0.202
Finland,-0.01171,0.133,,,0.045,0.297,-0.1108,0.1032,0.0443,0.3115,0.0491,0.105
Estonia,0.20836,0.512,-0.097,0.137,0.196,0.138,0.0642,0.0747,0.0371,0.329,,
Denmark,0.01273,0.103,-0.059,0.06,-0.052,0.175,0.1048,0.151,0.1249,0.191,0.1711,0.16
Italy,-0.01306,0.097,-0.0053,0.038,0.05,0.251,-0.1283,0.142,0.0533,0.3036,0.0265,0.061
Iceland,0.03764,0.068,0.18814,0.1011,-0.087,0.241,-0.0168,0.253,-0.118,0.0645,0.073,0.077
Ireland,-0.01941,0.563,-0.175,0.354,0.106,0.178,-0.174,0.257,0.2701,0.0868,0.0366,0.228
Latvia,0.02833,0.257,-0.2537,0.351,0.182,0.182,0.1569,0.106,-0.0865,0.276,0.2477,0.0848
Lithuania,-0.03851,0.19,-0.10776,0.247,-0.105,0.596,0.092,0.15,0.0786,0.049,0.0669,0.081
Luxembourg,,,,,,,,,0.122,0.084,0.0362,0.233
Malta,,,,,-0.265,0.444,0.1,0.1697,,,,
Russia,0.091,0.24,0.1561,0.439,-0.081,0.513,-0.1315,0.3859,-0.1634,0.354,0.0105,0.0595
Portugal,-0.0334,0.112,-0.0625,0.226,0.031,0.448,0.16,0.2946,-0.1203,0.2024,0.0074,0.154
Poland,-0.12505,0.222,0.10308,0.214,-0.1,0.164,-0.02445,0.4504,-0.0288,0.205,0.0679,0.07
Montenegro,0.03657,0.078,0.093,0.229,-0.19,0.3,-0.004,0.2503,0.0253,0.096,0.0085,0.084
Serbia,-0.0636,0.188,0.18636,0.383,-0.166,0.387,-0.0638,0.0487,0.0253,0.276,-0.0526,0.251
Netherlands,0.03544,0.119,-0.12733,0.34,-0.02,0.078,-0.038,0.1206,,,-0.011,0.074
Norway,0.07175,0.197,-0.0055,0.15,-0.046,0.253,-0.009,0.266,-0.0066,0.038,-0.0151,0.123
Slovakia,0.10712,0.332,0.061,0.268,-0.17,0.214,0.0415,0.17,-0.113,0.303,0.0267,0.281
Slovenia,-0.05417,0.092,0.02364,0.154,0.15,0.366,0.0417,0.0777,0.0396,0.046,0.0647,0.055
Spain,-0.048,0.023,0.0593,0.232,-0.071,0.568,0.0116,0.132,0.0481,0.107,-0.0113,0.115
Sweden,0.0983,0.259,0.0146,0.111,-0.018,0.17,-0.0122,0.106,0.175,0.169,-0.0023,0.079
Switzerland,-0.01835,0.259,-0.0811,0.122,0.005,0.132,0.044,0.0982,-0.0941,0.04686,0.0204,0.19
Ukraine,0.1219,0.447,0.492,0.282,-0.013,0.221,0.024,0.752,-0.1895,0.3576,-0.068,0.45
UK,-0.03975,0.138,0.01506,0.222,-0.043,0.067,0.1126,0.1803,-0.08807,0.1443,0.062,0.076
Hungary,-0.01736,0.078,-0.0806,0.144,-0.414,0.339,-0.0494,0.133,0.0027,0.2227,0.0309,0.118
